 - "A total of %1 Manage&#x20;AWBs have been deleted.","A total of %1 Manage&#x20;AWBs have been deleted."
 - "A total of %1 Manage&#x20;Locations have been deleted.","A total of %1 Manage&#x20;Locations have been deleted."
 - "A total of %1 Manage&#x20;Pincodes have been deleted.","A total of %1 Manage&#x20;Pincodes have been deleted."
 - "AWB","AWB"
 - "Add New Manage&#x20;AWB","Add New Manage&#x20;AWB"
 - "Add New Manage&#x20;Location","Add New Manage&#x20;Location"
 - "Add New Manage&#x20;Pincode","Add New Manage&#x20;Pincode"
 - "Address","Address"
 - "An error occurred while deleting Manage&#x20;AWBs.","An error occurred while deleting Manage&#x20;AWBs."
 - "An error occurred while deleting Manage&#x20;Locations.","An error occurred while deleting Manage&#x20;Locations."
 - "An error occurred while deleting Manage&#x20;Pincodes.","An error occurred while deleting Manage&#x20;Pincodes."
 - "Are you sure you wan't to delete selected Manage&#x20;AWBs?","Are you sure you wan't to delete selected Manage&#x20;AWBs?"
 - "Are you sure you wan't to delete selected Manage&#x20;Locations?","Are you sure you wan't to delete selected Manage&#x20;Locations?"
 - "Are you sure you wan't to delete selected Manage&#x20;Pincodes?","Are you sure you wan't to delete selected Manage&#x20;Pincodes?"
 - "Are you sure you wan\'t to delete the Manage&#x20;AWB ""${ $.$data.awb }"" ?","Are you sure you wan\'t to delete the Manage&#x20;AWB ""${ $.$data.awb }"" ?"
 - "Are you sure you wan\'t to delete the Manage&#x20;Location ""${ $.$data.name }"" ?","Are you sure you wan\'t to delete the Manage&#x20;Location ""${ $.$data.name }"" ?"
 - "Are you sure you wan\'t to delete the Manage&#x20;Pincode ""${ $.$data.district }"" ?","Are you sure you wan\'t to delete the Manage&#x20;Pincode ""${ $.$data.district }"" ?"
 - "Are you sure you want to do this?","Are you sure you want to do this?"
 - "Back","Back"
 - "COD","COD"
 - "Cash","Cash"
 - "City","City"
 - "Contact Person","Contact Person"
 - "Contact&#x20;Person","Contact&#x20;Person"
 - "Could not save the Manage&#x20;AWB: %1","Could not save the Manage&#x20;AWB: %1"
 - "Could not save the Manage&#x20;Location: %1","Could not save the Manage&#x20;Location: %1"
 - "Could not save the Manage&#x20;Pincode: %1","Could not save the Manage&#x20;Pincode: %1"
 - "Create New Manage AWB","Create New Manage AWB"
 - "Create New Manage Location","Create New Manage Location"
 - "Create New Manage Pincode","Create New Manage Pincode"
 - "Created","Created"
 - "Delete ""${ $.$data.awb }""","Delete ""${ $.$data.awb }"""
 - "Delete ""${ $.$data.district }""","Delete ""${ $.$data.district }"""
 - "Delete ""${ $.$data.name }""","Delete ""${ $.$data.name }"""
 - "Delete Manage&#x20;AWB","Delete Manage&#x20;AWB"
 - "Delete Manage&#x20;AWBs","Delete Manage&#x20;AWBs"
 - "Delete Manage&#x20;Location","Delete Manage&#x20;Location"
 - "Delete Manage&#x20;Locations","Delete Manage&#x20;Locations"
 - "Delete Manage&#x20;Pincode","Delete Manage&#x20;Pincode"
 - "Delete Manage&#x20;Pincodes","Delete Manage&#x20;Pincodes"
 - "Delete","Delete"
 - "Delhivery","Delhivery"
 - "District","District"
 - "Dto Center","Dto Center"
 - "Dto&#x20;Center","Dto&#x20;Center"
 - "Edit Manage&#x20;AWB","Edit Manage&#x20;AWB"
 - "Edit Manage&#x20;Location","Edit Manage&#x20;Location"
 - "Edit Manage&#x20;Pincode","Edit Manage&#x20;Pincode"
 - "Edit","Edit"
 - "Email","Email"
 - "Expected Package Count","Expected Package Count"
 - "Expected&#x20;Package&#x20;Count","Expected&#x20;Package&#x20;Count"
 - "ID","ID"
 - "Incoming Center","Incoming Center"
 - "Incoming&#x20;Center","Incoming&#x20;Center"
 - "Manage AWBs","Manage AWBs"
 - "Manage Locations","Manage Locations"
 - "Manage Manage&#x20;AWBs","Manage Manage&#x20;AWBs"
 - "Manage Manage&#x20;Locations","Manage Manage&#x20;Locations"
 - "Manage Manage&#x20;Pincodes","Manage Manage&#x20;Pincodes"
 - "Manage Pincodes","Manage Pincodes"
 - "Manage&#x20;AWB Information","Manage&#x20;AWB Information"
 - "Manage&#x20;AWBs","Manage&#x20;AWBs"
 - "Manage&#x20;Location Information","Manage&#x20;Location Information"
 - "Manage&#x20;Locations","Manage&#x20;Locations"
 - "Manage&#x20;Pincode Information","Manage&#x20;Pincode Information"
 - "Manage&#x20;Pincodes","Manage&#x20;Pincodes"
 - "Name","Name"
 - "New Manage&#x20;AWB","New Manage&#x20;AWB"
 - "New Manage&#x20;Location","New Manage&#x20;Location"
 - "New Manage&#x20;Pincode","New Manage&#x20;Pincode"
 - "Order Id","Order Id"
 - "Order&#x20;Id","Order&#x20;Id"
 - "Phone","Phone"
 - "Pickup Location Id","Pickup Location Id"
 - "Pickup","Pickup"
 - "Pickup&#x20;Location&#x20;Id","Pickup&#x20;Location&#x20;Id"
 - "Pin","Pin"
 - "Pincode","Pincode"
 - "Please correct the data sent.","Please correct the data sent."
 - "Pre Paid","Pre Paid"
 - "Pre&#x20;Paid","Pre&#x20;Paid"
 - "Requested Manage&#x20;AWB doesn\'t exist","Requested Manage&#x20;AWB doesn\'t exist"
 - "Requested Manage&#x20;Location doesn\'t exist","Requested Manage&#x20;Location doesn\'t exist"
 - "Requested Manage&#x20;Pincode doesn\'t exist","Requested Manage&#x20;Pincode doesn\'t exist"
 - "Reset","Reset"
 - "Return Address","Return Address"
 - "Return&#x20;Address","Return&#x20;Address"
 - "Rto Center","Rto Center"
 - "Rto&#x20;Center","Rto&#x20;Center"
 - "Save Manage&#x20;AWB","Save Manage&#x20;AWB"
 - "Save Manage&#x20;Location","Save Manage&#x20;Location"
 - "Save Manage&#x20;Pincode","Save Manage&#x20;Pincode"
 - "Save and Continue Edit","Save and Continue Edit"
 - "Shipment Height","Shipment Height"
 - "Shipment Id","Shipment Id"
 - "Shipment Length","Shipment Length"
 - "Shipment To","Shipment To"
 - "Shipment Width","Shipment Width"
 - "Shipment&#x20;Height","Shipment&#x20;Height"
 - "Shipment&#x20;Id","Shipment&#x20;Id"
 - "Shipment&#x20;Length","Shipment&#x20;Length"
 - "Shipment&#x20;To","Shipment&#x20;To"
 - "Shipment&#x20;Width","Shipment&#x20;Width"
 - "Something went wrong while saving the Manage&#x20;AWB.","Something went wrong while saving the Manage&#x20;AWB."
 - "Something went wrong while saving the Manage&#x20;Location.","Something went wrong while saving the Manage&#x20;Location."
 - "Something went wrong while saving the Manage&#x20;Pincode.","Something went wrong while saving the Manage&#x20;Pincode."
 - "State Code","State Code"
 - "State","State"
 - "State&#x20;Code","State&#x20;Code"
 - "Status Date Time","Status Date Time"
 - "Status Type","Status Type"
 - "Status","Status"
 - "Status&#x20;Date&#x20;Time","Status&#x20;Date&#x20;Time"
 - "Status&#x20;Type","Status&#x20;Type"
 - "The Manage&#x20;AWB has been deleted.","The Manage&#x20;AWB has been deleted."
 - "The Manage&#x20;AWB no longer exists.","The Manage&#x20;AWB no longer exists."
 - "The Manage&#x20;Location has been deleted.","The Manage&#x20;Location has been deleted."
 - "The Manage&#x20;Location no longer exists.","The Manage&#x20;Location no longer exists."
 - "The Manage&#x20;Pincode has been deleted.","The Manage&#x20;Pincode has been deleted."
 - "The Manage&#x20;Pincode no longer exists.","The Manage&#x20;Pincode no longer exists."
 - "There was a problem deleting the Manage&#x20;AWB","There was a problem deleting the Manage&#x20;AWB"
 - "There was a problem deleting the Manage&#x20;Location","There was a problem deleting the Manage&#x20;Location"
 - "There was a problem deleting the Manage&#x20;Pincode","There was a problem deleting the Manage&#x20;Pincode"
 - "There was a problem saving the Manage&#x20;AWB","There was a problem saving the Manage&#x20;AWB"
 - "There was a problem saving the Manage&#x20;Location","There was a problem saving the Manage&#x20;Location"
 - "There was a problem saving the Manage&#x20;Pincode","There was a problem saving the Manage&#x20;Pincode"
 - "Unable to remove Manage&#x20;AWB %1","Unable to remove Manage&#x20;AWB %1"
 - "Unable to remove Manage&#x20;Location %1","Unable to remove Manage&#x20;Location %1"
 - "Unable to remove Manage&#x20;Pincode %1","Unable to remove Manage&#x20;Pincode %1"
 - "Updated","Updated"
 - "Upl","Upl"
 - "We can\'t find a Manage&#x20;AWB to delete.","We can\'t find a Manage&#x20;AWB to delete."
 - "We can\'t find a Manage&#x20;Location to delete.","We can\'t find a Manage&#x20;Location to delete."
 - "We can\'t find a Manage&#x20;Pincode to delete.","We can\'t find a Manage&#x20;Pincode to delete."
 - "You saved the Manage&#x20;AWB","You saved the Manage&#x20;AWB"
 - "You saved the Manage&#x20;Location","You saved the Manage&#x20;Location"
 - "You saved the Manage&#x20;Pincode","You saved the Manage&#x20;Pincode"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"An error occurred while deleting record(s).","An error occurred while deleting record(s)."
"Assigned","Assigned"
"Cancelled","Cancelled"
"Collected","Collected"
"DL","DL"
"Delivered","Delivered"
"Disabled","Disabled"
"Dispatched","Dispatched"
"Enabled","Enabled"
"InTransit","InTransit"
"Manage AWB %1","Manage AWB %1"
"Manage AWB to delete was not found.","Manage AWB to delete was not found."
"Manage AWB","Manage AWB"
"Manage Location %1","Manage Location %1"
"Manage Location to delete was not found.","Manage Location to delete was not found."
"Manage Location","Manage Location"
"Manage Pincode %1","Manage Pincode %1"
"Manage Pincode to delete was not found.","Manage Pincode to delete was not found."
"Manage Pincode","Manage Pincode"
"Manifested","Manifested"
"NotPicked","NotPicked"
"Pending","Pending"
"Picked-UP","Picked-UP"
"Please Select Manage AWBs.","Please Select Manage AWBs."
"Please Select Manage Locations.","Please Select Manage Locations."
"Please Select Manage Pincodes.","Please Select Manage Pincodes."
"Preload","Preload"
"RT","RT"
"RTO","RTO"
"Returned","Returned"
"Something went wrong while saving the Manage AWB.","Something went wrong while saving the Manage AWB."
"Something went wrong while saving the Manage Location.","Something went wrong while saving the Manage Location."
"Something went wrong while saving the Manage Pincode.","Something went wrong while saving the Manage Pincode."
"The Manage AWB has been deleted.","The Manage AWB has been deleted."
"The Manage AWB has been saved.","The Manage AWB has been saved."
"The Manage Location has been deleted.","The Manage Location has been deleted."
"The Manage Location has been saved.","The Manage Location has been saved."
"The Manage Pincode has been deleted.","The Manage Pincode has been deleted."
"The Manage Pincode has been saved.","The Manage Pincode has been saved."
"This Manage AWB no longer exists.","This Manage AWB no longer exists."
"This Manage Location no longer exists.","This Manage Location no longer exists."
"This Manage Pincode no longer exists.","This Manage Pincode no longer exists."
"UD","UD"
"Unused","Unused"
"Used","Used"
"shipment_id","shipment_id"
"status","status"
