"Invalid login or password.","Invalid login or password."
"Login successful.","Login successful."
"There is already an account with this email address.","There is already an account with this email address."
"Please make sure your passwords match.","Please make sure your passwords match."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation."
"Thank you for registering with %1.","Thank you for registering with %1."
"Username or password not empty.","Username or password not empty."
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email."
"The account is locked. Please wait and try again or contact %1.","The account is locked. Please wait and try again or contact %1."
"An unspecified error occurred. Please contact us for assistance.","An unspecified error occurred. Please contact us for assistance."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","If there is an account associated with %1 you will receive an email with a link to reset your password."
"Mobile Number Update","Mobile Number Update"
"Standard Layout","Standard Layout"
"Ultimate Layout","Ultimate Layout"
English,English
"Other Language","Other Language"
Image,Image
Template,Template
"Numeric Only","Numeric Only"
"Alpha Numeric","Alpha Numeric"
"promotinal Message","promotinal Message"
"transactional Message","transactional Message"
"--Please Select--","--Please Select--"
"Template ","Template "
"Incorect OTP, Please Verify Again.","Incorect OTP, Please Verify Again."
"Forgot Password","Forgot Password"
"Required fields cannot be empty","Required fields cannot be empty"
"Mobile Number Doesn't Exist","Mobile Number Doesn't Exist"
"I want to Reset Password using","I want to Reset Password using"
Mobile,Mobile
Email,Email
"Email Address","Email Address"
"Email Address*","Email Address*"
Valid,Valid
"Send Otp","Send Otp"
"Send Email","Send Email"
"OTP Verification","OTP Verification"
Verify,Verify
"Password doesn't Match.","Password doesn't Match."
"Password should be more then 6 character.","Password should be more then 6 character."
"Reset Password","Reset Password"
"New password","New password"
"Enter New password","Enter New password"
"Confrim Password","Confrim Password"
Continue,Continue
Login,Login
"Login With Otp","Login With Otp"
"Login With Password","Login With Password"
"Please Enter Valid Mobile.","Please Enter Valid Mobile."
"Password has been Updated Successfully.","Password has been Updated Successfully."
"OTP Not Verified.","OTP Not Verified."
"Please enter otp","Please enter otp"
"Mobile Number*","Mobile Number*"
"Enter One Time Password","Enter One Time Password"
"One Time Password (OTP) has been sent to your mobile,please enter the same here to login.","One Time Password (OTP) has been sent to your mobile,please enter the same here to login."
OTP,OTP
"VERIFY & lOGIN","VERIFY & lOGIN"
"Email Address/Mobile Number *","Email Address/Mobile Number *"
Password,Password
Register,Register
"Forgot Password ?","Forgot Password ?"
"Incorrect OTP, Please Verify Again.","Incorrect OTP, Please Verify Again."
"Mobile Number Already Exist.","Mobile Number Already Exist."
"Please Enter Valid Mobile Number","Please Enter Valid Mobile Number"
"Please Enter Valid OTP","Please Enter Valid OTP"
"First Name","First Name"
"First Name*","First Name*"
"Last Name","Last Name"
"Last Name*","Last Name*"
Password*,Password*
"Confirm Password*","Confirm Password*"
"Mobile No. Without Country Code i.e 9898989898","Mobile No. Without Country Code i.e 9898989898"
"Do you have an Account?","Do you have an Account?"
"Verify & Register","Verify & Register"
or,or
"Mobile Verification","Mobile Verification"
"Mobile Number","Mobile Number"
"Enter OTP","Enter OTP"
"Resend OTP","Resend OTP"
"Sending OTP...","Sending OTP..."
"Required fields cannot be empty.","Required fields cannot be empty."
"Verify OTP","Verify OTP"
"Registered Customers","Registered Customers"
"* Required Fields","* Required Fields"
"If you have an account, sign in with your email address.","If you have an account, sign in with your email address."
"Email/Mobile Number","Email/Mobile Number"
"Sign In","Sign In"
"Forgot Password?","Forgot Password?"
"You will get all the sms on this number","You will get all the sms on this number"
"Invalid number","Invalid number"
"Invalid country code","Invalid country code"
"Too short","Too short"
"Too long","Too long"
"Mobile Login","Mobile Login"
"Applicable Countries","Applicable Countries"
"Specific Countries","Specific Countries"
"API Settings","API Settings"
Username,Username
"Authentication key","Authentication key"
"Message Type","Message Type"
"Sender ID/Sender Name","Sender ID/Sender Name"
"API URL","API URL"
"General Settings","General Settings"
"OTP String Length","OTP String Length"
"OTP String Type","OTP String Type"
"Send Login Notification Email To User","Send Login Notification Email To User"
"Email Template","Email Template"
"Email Sender","Email Sender"
"Registration OTP Custom Message Setting","Registration OTP Custom Message Setting"
"SMS Text","SMS Text"
"Forgot Password OTP Custom Message Setting","Forgot Password OTP Custom Message Setting"
"Login OTP Custom Message Setting","Login OTP Custom Message Setting"
Layout,Layout
Desgin,Desgin
"Upload Image","Upload Image"
"Demo Templates","Demo Templates"
"Update Mobile Number","Update Mobile Number"
